horsepower	highway-mpg	symboling	normalized-losses	make	fuel-type	aspiration	num-of-doors	body-style	drive-wheels	engine-location	wheel-base	length	width	height	curb-weight	engine-type	num-of-cylinders	engine-size	fuel-system	bore	stroke	compression-ratio	peak-rpm	city-mpg	price
114	28	-2	103	volvo	gas	std	four	sedan	rwd	front	104.3	188.8	67.2	56.2	2912	ohc	four	141	mpfi	3.78	3.15	9.5	5400	23	12940
162	22	-2	103	volvo	gas	turbo	four	sedan	rwd	front	104.3	188.8	67.2	56.2	3045	ohc	four	130	mpfi	3.62	3.15	7.5	5100	17	18420
114	28	-2	103	volvo	gas	std	four	sedan	rwd	front	104.3	188.8	67.2	56.2	2935	ohc	four	141	mpfi	3.78	3.15	9.5	5400	24	15985
114	28	-2	103	volvo	gas	std	four	sedan	rwd	front	104.3	188.8	67.2	56.2	2912	ohc	four	141	mpfi	3.78	3.15	9.5	5400	23	12940
95	24	0	120.2325581	peugot	gas	std	four	wagon	rwd	front	114.2	198.9	68.4	56.7	3285	l	four	120	mpfi	3.46	2.19	8.4	5000	19	16695
121	28	0	188	bmw	gas	std	two	sedan	rwd	front	101.2	176.8	64.8	54.3	2710	ohc	six	164	mpfi	3.31	3.19	9	4250	21	20970
184	16	0	120.2325581	mercedes-benz	gas	std	four	sedan	rwd	front	120.9	208.1	71.7	56.7	3900	ohcv	eight	308	mpfi	3.8	3.35	8	4500	14	40960
111	29	0	102	subaru	gas	turbo	four	sedan	4wd	front	97	172	65.4	54.3	2510	ohcf	four	108	mpfi	3.62	2.64	7.7	4800	24	11259
70	43	0	81	chevrolet	gas	std	four	sedan	fwd	front	94.5	158.8	63.6	52	1909	ohc	four	90	2bbl	3.03	3.11	9.6	5400	38	6575
97	24	0	161	peugot	gas	std	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3020	l	four	120	mpfi	3.46	3.19	8.4	5000	19	11900
86	33	0	85	honda	gas	std	four	sedan	fwd	front	96.5	175.4	65.2	54.1	2304	ohc	four	110	1bbl	3.15	3.58	9	5800	27	8845
123	25	0	93	mercedes-benz	diesel	turbo	two	hardtop	rwd	front	106.7	187.5	70.3	54.9	3495	ohc	five	183	idi	3.58	3.64	21.5	4350	22	28176
97	34	0	106	nissan	gas	std	four	sedan	fwd	front	97.2	173.4	65.2	54.7	2302	ohc	four	120	2bbl	3.33	3.47	8.5	5200	27	9549
68	38	0	120.2325581	volkswagen	diesel	turbo	four	sedan	fwd	front	100.4	180.2	66.9	55.1	2579	ohc	four	97	idi	3.01	3.4	23	4500	33	13845
95	33	0	161	peugot	diesel	turbo	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3197	l	four	152	idi	3.7	3.52	21	4150	28	13200
70	34	0	91	toyota	gas	std	four	hatchback	fwd	front	95.7	166.3	64.4	52.8	2122	ohc	four	98	2bbl	3.19	3.03	9	4800	28	8358
